"ID_Auftrag"	"Kunde"	"Datum"	"Nr"	"Betrag"	"Neu"	"Notiz"
94	96	07.12.06	14236	13.8		"Frau"
95	97	07.12.06	14221	12.9		"keine Anschrift"
96	98	07.12.06	14213	30.5	"2 Schals"	
97	99	07.12.06	14182	9.95		
98	100	08.05.15	24687	12.95		
99	101	08.12.06	14244	22	"2 Bezüge"	
100	81	08.12.06	14242	24.9		
101	102	08.12.06	14241	12.95		
102	103	08.12.06	14238	9.5		
103	104	08.12.06	14237	5		
104	105	08.12.06	14233	21.7		
105	106	08.12.06	14227	19.8		
106	107	08.12.06	14225	20.8		
107	108	22.10.15	25130	11.95		
108	19					
109	109	11.12.06	14251	21.25		"keine Anschrift"
110	88	11.12.06	14255	24.35		
111	110	11.12.06	14249	21.9		
112	111	11.12.06	14247	9.95		
113	112	11.12.06	14217	25.65		
114	113	03.12.08	16784	13.8		
115	114	12.12.06	14254	7.5		
116	115	12.12.06	14252	11.5		
117	24	12.12.06	14246	38.4		
118	82	12.12.06	14243	9.8		
119	116	12.12.06	14180	20.85		"keine Anschrift"
120	117	12.12.06	14108	38.4		
121	118	13.12.06	14261	16.8		
122	119	13.12.06	14258	31.4		
123	120	13.12.06	14253	12.6		
124	121	13.12.06	14245	18.4		
125	122	13.12.06	14216	48.75		"keine Anschrift"
126	123	12.09.07	15220	22.5		
127	124	13.12.06	14139	8.5		
128	125	14.12.06	14290	5		
129	3	14.12.06	14273	7.9		
130	126	14.12.06	14272	31.8		
131	127	14.12.06	14271	3		
132	94	14.12.06	14270	13.9		
133	128	14.12.06	14265	12.8		
134	129	14.12.06	14264	39.6		
135	130	14.12.06	14262	30.9		
136	131	14.12.06	14257	10.95		
137	132	14.12.06	14256	13.5		
138	133	14.12.06	14234	25.4		
139	52	14.12.06	14289	10.5		"Poppow"
140	134	15.12.06	14288	10.95		
141	135	15.12.06	14287	15		
142	124	15.12.06	14285	9		
143	136	15.12.06	14284	30.3		
144	137	15.12.06	14283	13.9		
145	138	05.02.10	18428	5		
146	139	15.12.06	14281	19.9		
147	140	15.12.06	14280	16.25		
148	141	31.08.07	15147	10.9		
149	142	15.12.06	14276	12.8		
150	143	15.12.06	14275	9.9		
151	144	17.04.15	24598	14.8		
152	145	15.12.06	14269	23.25		
153	146	15.12.06	14268	22.9		
154	147	15.12.06	14267	9.95		
155	88	15.12.06	14266	3		
156	92	15.12.06	14248	20.3		
157	148	15.12.06	14223	169.7	"Rock und Jacke"	"keine Anschrift"
158	149	02.01.07	14303	8.4		
159	150	03.01.07	14306	3		
161	152	03.01.07	14295	10.9		
162	120	03.01.07	14294	5		
163	28	03.01.07	14175	14.85		
164	153	04.01.07	14304	8.45		
165	154	25.03.15	24527	10.95		
166	130	05.01.07	14312	28.3		
167	155	03.12.08	16794	22.6		
168	156	05.01.07	14307	21.15		
169	157	05.01.07	14302	10.9		
170	158	05.01.07	14301	5		
171	159	05.01.07	14300	27.8		
172	160	05.01.07	14298	9.5		
173	98	05.01.07	14260	22.8		"keine Anschrift"
174	161	08.01.07	14324	21.1		
175	162	28.10.08	16661	22.45		
176	163	08.01.07	14313	56.75		
177	12	08.01.07	14308	19		"keine Anschrift"
178	90	08.01.07	14305	33.8		
179	164	09.01.07	14323	8		
180	165	09.01.07	14318	29.4		
181	166	09.01.07	14315	13.9		
182	143	09.01.07	14314	15.5		"Fam., Haus-Nr. 21"
183	167	10.01.07	14342	4.5		
184	168	10.01.07	14335	10.5		
185	134	10.01.07	14328	17.2		
186	169	10.01.07	14126	7.5		
187	170	05.09.14	23947	15.8		
188	171	30.11.15	25232	10.95		
189	172	10.01.07	14319	29.5		
190	173	10.01.07	14311	42.1		
191	147	11.01.07	14329	10.9		
192	174	11.01.07	14327	10.5		
193	175	11.01.07	14326	10.9		
194	176	11.01.07	14322	8.9		
195	177	12.01.07	14347	3		
196	173	12.01.07	14346	10.9		
197	178	12.01.07	14343	10.8		
198	179	12.01.07	14341	22		
199	180	22.10.15	25086	15.95		
200	181	12.01.07	14334	14.8		
201	182	12.01.07	14333	9.95		
202	183	12.01.07	14332	10.6		"keine Anschrift"
203	184	12.01.07	14331	14.5		
204	185	12.01.07	14330	30.9		
205	82	12.01.07	14320	14.5		"keine Anschrift"
206	23	12.01.07	14310	14.75		
207	186	15.01.07	14345	10.5		
208	187	15.01.07	14339	13.95		
209	188	15.01.07	14151	21.15		
210	189	16.01.07	14350	13.7		
211	190	16.01.07	14338	35.6		
212	191	16.01.07	14337	3		
213	192	16.10.07	14316	7		
214	193	17.01.07	14365	13.9		
215	194	17.01.07	14354	13.6		
216	195	17.01.07	14352	18		
217	196	17.01.07	14351	19.8		
218	197	17.01.07	14348	21		
219	198	17.01.07	14344	13.55		
220	199	17.01.07	14340	21.5		
221	122	17.01.07	14286	36.9		"keine Anschrift"
222	200	18.01.07	14369	13.65		
223	201	02.11.15	25161	11.35		
224	202	19.01.07	14376	10.95		
225	203	19.01.07	14374	38.1		
226	99	19.01.07	14371	3.5		
227	204	19.01.07	14370	10.9		
228	205	19.01.07	14366	19.9		
229	206	19.01.07	14363	16.9		
230	102	19.01.07	14361	18.95		
231	153	19.01.07	14360	8.5		
232	187	19.01.07	14359	44.6		
233	207	19.01.07	14356	13.95		
234	208	19.01.07	14355	5		
235	209	22.01.07	14353	15.35		
236	210	22.01.07	14349	10.9		
237	155	16.10.09	18017	6		
238	183	23.01.07	14381	14.15		"keine Anschrift"
239	211	23.01.07	14377	13.65		
240	126	23.01.07	14372	35.7		
241	3	23.01.07	14368	8.9		
242	212	23.01.07	14362	38.15		
243	213	24.01.07	14389	11		
244	214	24.01.07	14384	19.8		
245	215	24.01.07	14378	10.9		
246	216	25.01.07	14390	15		
247	130	25.01.07	14383	42.3		
248	217	25.01.07	14380	24.55		
249	218	25.01.07	14375	58.6		
250	219	25.01.07	14373	10.9		
251	220	25.01.07	14367	11.5		
252	221	21.10.15	25125	14		
253	222	26.01.07	14393	13.9		"Frau"
254	223	26.01.07	14392	10.9		
255	224	26.01.07	14391	6.5		
256	225	26.01.07	14388	8.4		
257	226	26.01.07	14387	8		
258	121	26.01.07	14385	28.7		
259	227	29.01.07	14397	12.45		
260	228	29.01.07	14386	21.8		
261	229	29.01.07	14382	24.1		
262	94	29.01.07	14364	32		
263	38	30.01.07	14395	11		"keine Anschrift"
264	116	30.01.07	14279	7		"keine Anschrift, Jensch"
265	231	30.01.07	14358	44		
266	232	31.01.07	14398	28.45		
267	233	31.01.07	14379	14.9		
268	234	01.02.07	14406	23.4		
269	103	01.02.07	14400	30.9		
270	235	01.02.07	14399	28.45		
271	208	01.02.07	14396	12		"keine Anschrift"
272	32	02.02.07	14420	10.9		"keine Anschrift"
273	236	02.02.07	14409	14.4		
274	237	02.02.07	14407	33.7		
275	238	02.02.07	14404	22.45		
276	239	02.02.07	14401	23.45		
277	240	05.02.07	14416	12		
278	24	05.02.07	14397	24.85		
279	241	05.02.07	14394	13.65		
280	242	06.02.07	14422	5		
281	243	06.02.07	14418	13.8		
282	141	28.08.08	16414	5		
283	244	06.02.07	14412	16		"Tuttasz"
284	106	06.02.07	14405	63.4		
285	245	06.02.07	14395	23.55		
286	24	07.02.07	14427	21.9		
287	246	07.02.07	14425	16.4		
288	247	11.09.14	23963	4.8		
289	21	07.02.07	14411	10.9		
290	248	08.02.07	14426	13.55		
291	205	08.02.07	14424	16.2		
292	233	08.02.07	14423	19.55		
293	249	08.02.07	14417	8.85		
294	250	08.02.07	14414	16.3		
296	251	08.02.07	14410	30.8		
297	252	08.02.07	14402	19.9		
298	253	09.02.07	14438	11.9		
299	254	09.02.07	14434	8.9		
300	255	05.11.15	25192	21.9		
301	256	09.02.07	14428	10.5		"Frau"
302	257	09.02.07	14419	4		"Haus-Nr. 10, Ortstr."
303	258	09.02.07	14403	7.5		"Mehmke"
304	19					
305	259	09.02.07	14357	104.9	"Tanzkleid"	
306	260	09.02.07	14045	11.75		
307	261	12.02.07	14432	8.4		
308	3	12.02.07	14431	38.7		
309	262	05.12.11	20698	22.6		
310	263	13.02.07	14439	6.5		
311	264	13.02.07	14436	23.35		
312	265	01.07.14	23752	4		
313	96	14.02.07	14446	10.6		"Fam."
314	266	14.02.07	14444	52.25		
315	260	14.02.07	14443	10		
316	267	14.02.07	14441	8.5		
317	268	14.02.07	14437	4.5		
318	269	15.02.07	14458	7.85		
319	270	15.02.07	14449	28.75		
320	271	15.02.07	14448	41.65		
321	272	07.05.08	16032	10.95		
322	273	16.02.07	14465	9		
323	115	16.02.07	14460	21.8		
324	274	16.02.07	14457	11.9		
325	275	16.02.07	14456	11.9		
326	276	16.02.07	14455	20.8		
327	257	16.02.07	14442	8.5		"Haus-Nr. 40"
328	277	16.02.07	14399	10.95		
329	278	19.02.07	14463	14.8		
330	279	19.02.07	14462	17.45		
331	57	19.02.07	14453	13.5		
332	280	19.02.07	14450	32.15		
333	281	22.05.15	24721	14.9		
334	282	20.02.07	14473	9		
335	282	27.08.07	15158	5		
336	283	20.02.07	14469	18.25		
337	12	20.02.07	14467	21.8		"keine Anschrift"
338	284	20.02.07	14466	13.65		
339	134	20.02.07	14464	17.2		
340	285	20.02.07	14461	11.9		
341	286	20.02.07	14459	8.5		
342	287	20.02.07	14408	21.8		
343	288	21.02.07	14472	48.25		
344	289	21.02.07	14470	15		
345	263	21.02.07	14454	19.9		
346	290	21.02.07	14452	12.65		
347	291	21.02.07	14445	24.4		
348	155	14.03.11	19791	13.9		
349	292	02.09.15	24993	23.9		
350	293	22.02.07	14474	10		
351	294	22.02.07	14447	24.45		
352	295	23.02.07	14492	10.95		
353	6	23.02.07	14490	15.45		
354	296	23.02.07	14484	15		
355	297	23.02.07	14471	10.9		
356	298	23.02.07	14430	10.9		
357	147	26.02.07	14475	4.5		"keine Anschrift, nur Meyer"
358	299	27.02.07	14489	10.9		
359	300	08.05.09	17367	20		
360	301	27.02.07	14485	57.6		
361	285	27.02.07	14483	13.5		
362	302	27.02.07	14481	8.45		
363	303	27.02.07	14480	7.5		"keine Anschrift"
364	304	28.02.07	14495	10		
365	305	28.02.07	14491	23.95		
366	291	28.02.07	14487	18.5		
367	306	28.02.07	14479	6		
368	307	01.03.07	14498	44.35		
369	308	01.03.07	14497	5		
370	309	01.03.07	12828	7.9		
371	256	02.03.07	14510	10.9		"Fam."
372	310	02.03.07	14505	28.35		
373	24	02.03.07	14504	29.8		
374	311	02.03.07	14503	22.65		
375	312	02.03.07	14502	13.3		
376	313	02.03.07	14500	14.8		
377	314	02.03.07	14494	6		
378	315	04.03.07	14518	10.9		
379	316	05.03.07	14501	27.7		
380	109	05.03.07	14478	30.85		"keine Anschrift"
381	317	06.03.07	14512	8.5		
382	306	06.03.07	14509	4		
383	297	06.03.07	14508	18.95		
384	318	06.03.07	14507	20.65		
385	12	06.03.07	14496	31.35		"keine Anschrift"
386	319	06.03.07	14493	24.8		
387	320	07.03.07	14515	10.9		
388	321	07.03.07	14513	37.2		"keine Anschrift"
389	322	10.08.11	20443	7		
390	323	08.03.07	14531	10.9		
391	146	08.03.07	14517	21.9		
392	51	08.03.07	14516	6		"keine Anschrift"
393	102	08.03.07	14511	5		
394	148	08.03.07	14506	10		"keine Anschrift"
395	324	09.03.07	14539	2		
396	94	09.03.07	14538	12.95		
397	325	09.03.07	14535	15.95		
398	326	09.03.07	14533	8.5		
399	327	09.03.07	14529	11.9		
400	328	09.03.07	14525	11.9		
401	222	09.03.07	14524	13.95		
402	86	09.03.07	14522	21.9		
403	86	09.03.07	14521	22.8		"Fam."
404	276	09.03.07	14520	20		"keine Anschrift, nur Feind"
405	55	09.03.07	14519	15.45		"Fam., Am Karbel 68"
406	329	09.03.07	14514	8.9		
407	330	09.03.07	14499	10.95		
408	128	09.03.06	14488	26.8		"keine Anschrift"
409	128	09.03.07	14477	8.5		
410	331	12.03.07	14532	10.95		
411	332	23.01.09	16973	10.95		
412	196	12.03.07	14527	21.55		
413	333	13.03.07	14277	17.5		
414	155	08.09.14		39.95		"gekauft"
415	334	13.03.07	14534	10.95		
416	93	13.03.07	14528	22.8		
417	335	14.03.07	14542	12.5		
418	336	14.03.07	14541	10.95		
419	337	14.03.07	14540	14.95		
420	338	14.03.07	14536	14.45		
421	316	14.03.07	14523	10.9		
422	339	15.03.07	14554	13.95		
423	340	15.03.07	14552	19.9		
424	341	15.03.07	14551	13.55		
425	342	15.03.07	14547	13.95		
426	343	15.03.07	14546	18.95		
427	344	15.03.07	14544	11.95		
428	345	15.03.07	14526	12.95		
429	244	16.03.07	14570	23.85		
430	346	16.03.07	14568	10.95		"keine Anschrift"
431	347	16.03.07	14566	15		"keine Anschrift"
432	334	16.03.07	14565	10.95		
433	348	16.03.07	14563	13.85		
434	349	16.03.07	14562	5		
435	350	16.03.07	14558	21.9		
436	350	16.03.07	14557	23.35		"keine Anschrift"
437	236	16.03.07	14556	10.95		
438	351	16.03.07	14555	13.05		
439	346	16.03.07	14553	23.85		
440	352	16.03.07	14550	17.9		
441	330	16.03.07	14545	10.95		
442	353	16.03.07	14543	17.35		
443	354	19.03.07	14575	11.95		
444	130	19.03.07	14559	51.55		"Seyfert"
445	355	19.03.07	14549	10.95		
446	356	11.03.07		51.2		"kauft viel"
447	357	20.03.07	14582	4.5		
448	138	02.12.11	20834	18.5		
449	358	20.03.07	14577	22.75		"keine Anschrift"
450	359	20.03.07	14573	17.8		
451	360	22.10.15	25119	4		
452	361	20.03.07	14569	17.45		
453	362	20.03.07	14560	10.95		
454	363	15.03.07				"gekauft"
455	364	22.03.07	14580	12.95		
456	342	22.03.07	14576	25.15		"Fam."
457	88	22.03.07	14574	7.5		
458	365	22.03.07	14571	19.9		
459	56	22.03.07	14567	27.5		"Seyfert"
460	283	23.03.07	14604	4.5		
461	160	23.03.07	14603	4		
462	366	23.03.07	14600	10.9		
463	19					
464	32	23.03.07	14596	20.45		"keine Anschrift, Friseur"
465	46	23.03.07	14595	10.95		
466	260	23.03.07	14594	13.55		
467	258	23.03.07	14592	10.95		"Frau"
468	303	23.03.07	14591	10.95		"keine Anschrift"
469	367	23.03.07	14589	10.95		
470	368	23.03.07	14587	18.95		
471	369	23.03.07	14585	16.95		
472	370	23.03.07	14584	18.9		
473	371	23.03.07	14564	10.85		
474	19					
475	372	26.03.07	14598	4		
476	147	26.03.07	14586	21.85		
477	176	26.03.07	14583	14.5		"Herr"
478	373	23.03.07	14579	10.9		"keine Anschrift"
479	374	28.03.07	14615	4		
480	375	28.03.07	14602	25		
481	25	29.03.07	14590	4.5		
482	376	30.03.07	14625	20.95		
483	377	30.03.07	14620	8.5		
484	378	30.03.07	14617	25.35		
485	379	30.03.07	14614	10.9		
486	380	30.03.07	14612	24.45		
487	8	30.03.07	14611	20		"keine Anschrift"
488	315	30.03.07	14610	11.55		
489	355	30.03.07	14609	21.8		
490	381	30.03.07	14608	38.2		
491	382	30.03.07	14605	49.5		
492	383	30.03.07	14601	5		
493	384	02.04.07	14629	21.55		
494	385	02.04.07	14606	16.5		
495	386	02.04.07	14616	7.95		
496	149	03.04.07	14628	18.95		"Hanemann?"
497	387	03.04.07	14618	14.45		
498	388	03.04.07	14588	21.9		
499	379	04.04.07	14634	21.8		
500	389	04.04.07	14633	10.5		
501	223	04.04.07	14632	16.9		
502	390	04.04.07	14627	10.95		
503	391	04.04.07	14624	26.1		
504	392	04.04.07	14622	42.85		
505	393	04.04.07	14619	10		
506	394	04.04.07	14613	13.95		
507	395	10.03.08	15810	30.95		
508	396	13.11.15	25209	11.95		
509	397	05.04.07	14644	30.45		
510	218	05.04.07	14641	10.9		
511	398	05.04.07	14639	10.9		
512	386	05.04.07	14636	30.9		
513	205	05.04.07	14630	35.35		
514	399	05.04.07	14623	20		
515	357	05.04.07	14597	10		
516	400	10.04.07	14640	7.9		
517	401	10.04.07	14607	10.5		"Krinphove"
518	402	11.04.07	14645	10.9		
519	403	11.04.07	14642	13.65		
520	404	12.04.07	14646	25.8		
521	405	12.04.07	14643	32.85		
522	380	12.04.07	14635	10.5		"Frau"
523	32	12.04.07	14631	8.45		"keine Anschrift, Friseur"
524	60	12.04.07	14621	10.95		
525	406	13.04.07	14668	16.95		
526	407	13.04.07	14664	14.4		
527	303	13.04.07	14660	10.9		"keine Anschrift"
528	408	13.04.07	14659	10.9		
529	409	13.04.07	14658	21.55		
530	334	13.04.07	14657	10.9		
531	410	13.04.07	14656	10.95		
532	411	13.04.07	14655	13.95		
533	401	13.04.07	14654	10.5		
534	412	13.04.07	14653	10.9		
535	12	13.04.07	14651	32.15		"keine Anschrift"
536	413	13.04.07	14650	21.9		
537	414	13.04.07	14649	28	"4 Schals"	
538	52	13.04.07	14638	14.95		
539	415	13.04.07	14637	13.9		
540	416	16.04.07	14652	4		"keine Anschrift"
541	417	17.04.07	14666	6		
542	418	17.04.07	14663	13.4		
543	419	17.04.07	14662	10.9		
544	420	18.04.07	14670	10		
545	24	18.04.07	14667	21.1		
546	113	29.09.10	19242	21.25		
547	421	18.04.07	14661	16.5		
548	422	19.04.07	14675	23.85		
549	53	19.04.07	14671	32.7		
550	423	19.04.07	14647	14.1		
551	424	19.04.07	14626	88.8	"Kleid"	
552	425	20.04.07	14697	3.5		
553	426	20.04.07	14693	9.8		
554	32	20.04.07	14685	8.4		"keine Anschrift"
555	427	20.04.07	14682	14.8		
556	91	20.04.07	14681	12.9		"keine Anschrift, kein Dr."
557	91	02.05.07	14754	10.9		"keine Adr"
558	428	20.04.07	14679	18.9		
560	430	20.04.07	14674	12.95		
561	431	20.04.07	14672	23.9		
562	432	20.04.07	14648	7.9		"keine Anschrift"
563	433	23.04.07	14691	32.7		
564	434	23.04.07	14677	21.8		
565	12	23.04.07	14673	32.75		"keine Anschrift"
567	165	24.04.07	14711	19.4		"keine Anschrift"
568	435	24.04.07	14694	13.65		
569	436	25.04.07	14718	10.9		
570	168	25.04.07	14702	5		
571	437	25.04.07	14696	13.9		
572	438	25.04.07	14690	12.6		
573	439	25.04.07	14699	11.5		
574	289	25.04.07	14698	9.5		
575	440	25.04.07	14688	14.95		
576	441	25.04.07	14686	13.25		
577	442	25.04.07	14669	37.25		
578	443	26.04.07	14727	13.7		
579	103	26.04.07	14710	18.85		"Fam."
580	444	26.04.07	14708	13.55		
581	445	26.04.07	14705	10.9		
582	446	26.04.07	14704	10.9		
583	447	25.04.07	14700	10.9		
584	24	26.04.07	14695	18.4		
585	219	26.04.07	14689	19.8		
586	448	27.04.07	14743	10.95		"keine Anschrift"
587	2	27.04.07	14738	35.7		"Sohn von Michaelstr. 56b"
588	449	27.04.07	14730	8		
589	450	27.04.07	14729	15.5		
590	451	27.04.07	14728	21.8		
591	452	27.04.07	14725	10.9		
592	453	27.04.07	14723	15		
593	196	27.04.07	14719	11.9		
594	211	27.04.07	14717	10.9		"Frau Hoffmann, Haus-Nr. 14"
595	302	27.04.07	14715	14.8		"Haus-Nr. 38"
596	454	27.04.07	14714	11.9		
597	455	27.04.07	14713	14.8		
598	80	27.04.07	14706	17.55		
599	456	27.04.07	14701	40.2		
600	63	30.04.07	14747	33.8		"Särchinger"
601	457	30.04.07	14746	10.9		
602	458	30.04.07	14734	24.6		
603	358	30.04.07	14724	10		
604	459	30.04.07	14722	31.6		
605	460	30.04.07	14721	13.65		
606	461	01.05.07	14720	9.9		
607	332					
609	463	30.04.07	14680	14.5		
610	581	22.10.13	22956	24.95		
611	582	02.05.07	14750	30.5		
612	583	02.05.07	14739	9.9		
613	584	02.05.07	14733	18		
614	585	02.05.07	14732	24.9		
615	32	02.05.07	14731	35.9		"kein adr"
616	586	03.05.07	14755	4		
617	407	03.05.07	14752	9.5		
618	587	03.05.07	14749	32.85		
619	588	03.05.07	14736	12.8		
620	589	03.05.07	14716	11.8		
621	590	04.05.07	14774	8.45		
622	32	04.05.07	14771	21.9		"hinweis: frisör"
623	165	04.05.07	14764	11.95		"Name: Mondeo, keine adr"
624	591	04.05.07	14758	14.8		
625	592	04.05.07	14756	21.9		
626	593	04.05.07	14751	13.6		
627	257	04.05.07	14748	12.4		
628	96	04.05.07	14742	10.95		
629	594	04.05.07	14740	22.5		
630	329	04.05.07	14692	11.9		
631	595	04.05.07	14676	9		
632	24	07.05.07	14753	4		
633	596	07.05.07	14744	18		
634	597	07.05.07	14726	23.25		
635	88	07.05.07	14703	15.5		
636	598	07.05.07	14687	85.8	"Rock"	
637	249	07.05.07	14684	82.45		
638	599	08.05.07	14775	14		
639	393	08.05.07	14770	8.5		
640	600	08.05.07	14766	10.9		
641	601	08.05.07	14762	13.9		
642	430	08.05.07	14761	24.9		
643	602	09.06.08	16155	12.9		
644	587	09.05.07	14773	21.8		
645	603	09.05.07	14769	20		
646	604	09.05.07	14767	18.9		
647	605	09.05.07	14765	10.9		
648	11	09.05.07	14763	13.9		
649	382	09.05.07	14759	40.1		
650	606	10.05.07	14782	10.9		
651	150	10.05.07	14779	9.9		
652	500	10.05.07	14772	11.9		
653	526	11.05.07	14803	19.5		"keine Hausnr"
654	19					
655	604	11.05.07	14799	10.9		
656	33	11.05.07	14795	21.9		"Schmider?"
657	607	11.05.07	14792	10.9		
658	608	11.05.07	14790	13.85		
659	609	11.05.07	14788	45		
660	610	11.05.07	14785	11.8		
661	134	11.05.07	14784	52.1		
662	611	11.05.07	14781	55.2		
663	612	11.05.07	14776	26.9		
664	52	14.05.07	14798	13.6		"Poppov"
665	613	14.05.07	14783	16		
666	614	14.05.07	14741	23.9		
667	335	15.05.07	14800	29.7		"Frau"
668	615	15.05.07	14797	17.8		
669	39	15.05.07	14793	12		
670	595	15.05.07	14780	13.9		
671	616	15.05.07	14768	14.8		
672	270	16.05.07	14804	18.7		
673	617	16.05.07	14802	24.9		
674	618	16.05.07	14786	18		
675	200	18.05.07	14830	10.9		
676	619	18.05.07	14826	10.9		"keine Anschrift"
677	209	18.05.07	14818	8.6		
678	620	04.11.15	25179	27.75		
679	621	18.05.07	14816	13.95		
680	207	18.05.07	14810	9		"Fam."
681	622	12.12.07	15558	8.5		
682	358	18.05.07	14757	14.9		
683	191	21.05.07	14822	20.95		
684	71	21.05.07	14815	13.6		
685	623	21.05.07	14813	45		
686	608	21.05.07	14809	13.8		
687	425	21.05.07	14805	35.4		
688	461	21.05.07	14796	10.9		
689	447	21.05.07	14787	3.8		
690	316	21.05.07	14778	13.9		
691	616	22.05.07	14821	13.9		
692	543	22.05.07	14819	8.5		
693	624	30.05.07	14851	21.95		
694	625	22.05.07	14807	15.4		
695	160	23.05.07	14853	10.9		
696	626	23.05.07	14827	9.9		
697	193	23.05.07	14820	25.25		
698	627	23.05.07	14812	4		
699	628	23.05.07	14811	34		
700	629	23.05.07	14808	27.8		
701	393	23.05.07	14789	13.7		"Naumann"
703	630	24.05.07	14836	10.9		
705	85	24.05.07	14832	23.4		"keine Anschrift"
706	358	24.05.07	14831	4.5		
707	631	24.05.07	14829	13.65		
708	632	24.05.07	14824	14.95		
709	189	24.05.07	14794	10.9		
710	621	25.05.07	14861	5		
711	377	25.05.07	14857	13.55		
712	633	25.05.07	14856	10.95		
713	12	25.05.07	14855	30.15		"keine Anschrift"
714	616	25.05.07	14847	12.95		
715	121	25.05.07	14845	10.9		"Herr"
716	634	25.05.07	14844	10.9		
717	614	25.05.07	14842	31.8		
718	635	25.05.07	14841	13.65		
719	597	25.05.07	14840	16.45		
720	636	25.05.07	14837	30		
721	637	25.05.07	14834	10.9		
722	479	25.05.07	14833	10.9		
723	638	25.05.07	14828	20.95		
724	120	25.05.07	14825	32.7		"Fam."
725	639	20.10.11	20672	10.95		
726	81	29.05.07	14852	38.6		"Steiges"
727	144					
728	142	29.05.07	14849	8.5		
729	506	13.12.06	14207	5		"keine Anschrift"
730	8	30.05.07	14860	9.5		"keine Anschrift"
731	407	22.05.07	14814	19.8		
732	407	30.05.07	14854	30.75		
733	203	30.05.07	14848	66.1		"Fam."
734	640	31.05.07	14869	14.65		
735	19					
736	460	31.05.07	14862	21.8		
737	641	31.05.07	14859	14.8		
738	642	31.05.07	14846	13.65		
739	643	31.05.07	14745	63.3		
740	558	27.04.07	14701	40.2		
741	387	10.05.07	14782	10.9		"Hauck"
